Country,Year,Cellphone,Internetuser,Radio,Telephone,Xlpopulation,Xlrealgdp
Germany,1994,2489810,749792.1,73971,36917168,81422,1350000
Germany,1995,3717010,1496782,75470,38789244,81661,1400000
Germany,1996,5505266,2496946,77000,41909908,81896,1400000
Germany,1997,8277372,5500912,77500,44046120,82053,1400000
Germany,1998,13900000,8100987,77800,45207492,82029,1500000
Germany,1999,23400000,17100000,78100,46535668,82069,1500000
Germany,2000,48200000,24800000,78400,48165128,82191.9,1500000
Germany,2001,56200000,31000000,0,50189756,82314.8,0
Germany,2002,60000000,36000000,0,52211948,82476.6,0
Germany,2003,0,39000000,0,53692872,0,0
China,1875,0,0,0,0,0,0
China,1876,0,0,0,0,0,0
China,1877,0,0,0,0,0,0
China,1878,0,0,0,0,0,0
China,1879,0,0,0,0,0,0
China,1880,0,0,0,0,0,0
China,1881,0,0,0,0,0,0
China,1882,0,0,0,0,0,0
China,1883,0,0,0,0,0,0
China,1884,0,0,0,0,0,0
China,1885,0,0,0,0,0,0
China,1886,0,0,0,0,0,0
China,1887,0,0,0,0,0,0
China,1888,0,0,0,0,0,0
China,1889,0,0,0,0,0,0
China,1890,0,0,0,0,380000,233517
China,1891,0,0,0,0,0,0
China,1892,0,0,0,0,0,0
China,1893,0,0,0,0,0,0
China,1894,0,0,0,0,0,0
China,1895,0,0,0,0,0,0
China,1896,0,0,0,0,0,0
China,1897,0,0,0,0,0,0
China,1898,0,0,0,0,0,0
China,1899,0,0,0,0,0,0
China,1900,0,0,0,0,400000,260600
China,1901,0,0,0,0,402243,0
China,1902,0,0,0,0,404498,0
China,1903,0,0,0,0,406766,0
China,1904,0,0,0,0,409047,0
China,1905,0,0,0,0,411340,0
China,1906,0,0,0,0,413646,0
China,1907,0,0,0,0,415965,0
China,1908,0,0,0,0,418297,0
China,1909,0,0,0,0,420642,0
China,1910,0,0,0,0,423000,0
China,1911,0,0,0,0,427662,0
China,1912,0,0,0,0,432375,0
China,1913,0,0,0,0,437140,300924
China,1914,0,0,0,0,441958,0
China,1915,0,0,0,0,446829,0
China,1916,0,0,0,0,451753,0
China,1917,0,0,0,0,456732,0
China,1918,0,0,0,0,461766,0
China,1919,0,0,0,0,466855,0
China,1920,0,0,0,0,472000,0
China,1921,0,0,0,0,473673,0
China,1922,0,0,0,0,475352,0
China,1923,0,0,0,0,477037,0
China,1924,0,0,0,0,478728,0
China,1925,0,0,0,0,480425,0
China,1926,0,0,0,0,482128,0
China,1927,0,0,0,0,483837,0
China,1928,0,0,0,0,485552,0
China,1929,0,0,0,0,487273,379465
China,1930,0,0,0,0,489000,384280
China,1931,0,0,0,0,492640,388192
China,1932,0,0,0,0,496307,400530
China,1933,0,0,0,0,500000,400530
China,1934,0,0,0,0,502639,365623
China,1935,0,0,0,0,505292,395113
China,1936,0,0,0,0,507959,420090
China,1937,0,0,0,0,510640,409859
China,1938,0,0,0,0,513336,399627
China,1939,0,0,0,0,516046,0
China,1940,0,0,0,0,518770,0
China,1941,0,0,0,0,521508,0
China,1942,0,0,0,0,524261,0
China,1943,0,0,0,0,527028,0
China,1944,0,0,0,0,529810,0
China,1945,0,0,0,0,532607,0
China,1946,0,0,600,0,535418,0
China,1947,0,0,700,0,538244,0
China,1948,0,0,800,0,541085,0
China,1949,0,0,900,218000,543941,0
China,1950,0,0,1000,225000,546815,239903
China,1951,0,0,1666,319000,557480,267228
China,1952,0,0,2333,354000,568910,305742
China,1953,0,0,2999,401000,581390,321919
China,1954,0,0,3666,439000,595310,332326
China,1955,0,0,4333,479000,608655,350115
China,1956,0,0,4999,614000,621465,384842
China,1957,0,0,5666,664000,637408,406222
China,1958,0,0,6333,907000,653235,452654
China,1959,0,0,7000,1292000,666005,464006
China,1960,0,0,7250,1578000,667070,448727
China,1961,0,0,7500,1616000,660330,368021
China,1962,0,0,7750,1552000,665770,368032
China,1963,0,0,8000,1516000,682335,403732
China,1964,0,0,11000,1216000,698355,452558
China,1965,0,0,15000,1263000,715185,505099
China,1966,0,0,20000,1309000,735400,553676
China,1967,0,0,36000,1318000,754550,536987
China,1968,0,0,10916,1259000,774510,525204
China,1969,0,0,48000,1264000,796025,574669
China,1970,0,0,65000,1311000,818315,640949
China,1971,0,0,68000,1351000,841105,671780
China,1972,0,0,71000,1456000,862030,691449
China,1973,0,0,74000,1538000,881940,740048
China,1974,0,0,77000,1604000,900350,752734
China,1975,0,0,80000,1692000,916395,800876
China,1976,0,0,83000,1761000,930685,793092
China,1977,0,0,86000,1834000,943455,844157
