Country,Year,Cellphone,Internetuser,Radio,Telephone,Xlpopulation,Xlrealgdp
Russia,1989,0,0,190000,19391776,287845,2000000
Russia,1990,0,0,200000,20753460,289350,2000000
Russia,1991,300.7569,0,55500,22352740,291200,1700000
Russia,1992,6015.333,1002.555,56000,22906988,148689,935072
Russia,1993,10024.97,20049.95,56500,23533776,148520,853194
Russia,1994,27812.63,80197.88,57000,24156868,148336,745209
Russia,1995,88624.71,220245.3,58000,25046792,148141,714357
Russia,1996,223360.3,400642.7,61000,25956148,147739,690624
Russia,1997,484568.2,699545.5,61500,28232106,147304,696609
Russia,1998,745138.6,1196754,62000,29166878,146909,664495
Russia,1999,1362375,1490966,62500,30762606,146318,687619
Russia,2000,3232574,2872783,0,31769018,145562,766008
Russia,2001,7644455,0,0,32822880,144757,
Russia,2002,17300000,0,0,34890920,144074,
Russia,2003,0,0,0,0,0,0
United States,1875,0,0,0,0,45245,117584
United States,1876,0,0,0,3000,46287,119138
United States,1877,0,0,0,9000,47325,122764
United States,1878,0,0,0,26000,48362,127944
United States,1879,0,0,0,31000,49400,144001
United States,1880,0,0,0,48000,50458,161095
United States,1881,0,0,0,71000,51743,166793
United States,1882,0,0,0,98000,53027,177153
United States,1883,0,0,0,124000,54311,181297
United States,1884,0,0,0,148000,55595,184922
United States,1885,0,0,0,156000,56879,185958
United States,1886,0,0,0,167000,58164,191656
United States,1887,0,0,0,181000,59448,200462
United States,1888,0,0,0,195000,60732,199426
United States,1889,0,0,0,212000,62016,211858
United States,1890,0,0,0,228000,63302,214966
United States,1891,0,0,0,239000,64612,224290
United States,1892,0,0,0,261000,65922,246045
United States,1893,0,0,0,266000,67231,234132
United States,1894,0,0,0,285000,68541,227398
United States,1895,0,0,0,340000,69851,254851
United States,1896,0,0,0,404000,71161,249671
United States,1897,0,0,0,515000,72471,273499
United States,1898,0,0,0,681000,73781,279197
United States,1899,0,0,0,1005000,75091,304578
United States,1900,0,0,0,1356000,76391,312866
United States,1901,0,0,0,1801000,77888,348089
United States,1902,0,0,0,2371000,79469,351715
United States,1903,0,0,0,2809000,80946,368809
United States,1904,0,0,0,3353000,82485,364147
United States,1905,0,0,0,4127000,84147,391082
United States,1906,0,0,0,4933000,85770,436148
United States,1907,0,0,0,6119000,87339,442881
United States,1908,0,0,0,6484000,89055,406622
United States,1909,0,0,0,6996000,90845,456349
United States,1910,0,0,0,7635000,92767,461011
United States,1911,0,0,0,8349000,94234,476033
United States,1912,0,0,0,8730000,95703,498306
United States,1913,0,0,0,9548000,97606,517990
United States,1914,0,0,0,10052000,99505,478105
United States,1915,0,0,0,10531000,100941,491573
United States,1916,0,0,0,11248000,102364,559429
United States,1917,0,0,0,11725000,103817,545444
United States,1918,0,0,0,12086000,104958,594653
United States,1919,0,0,0,12678000,105473,599832
United States,1920,0,0,0,13284000,106881,594135
United States,1921,0,0,0,13828000,108964,580667
United States,1922,0,0,0,14309000,110484,612782
United States,1923,0,0,0,15333000,112387,693589
United States,1924,0,0,0,16032000,114558,714826
United States,1925,0,0,0,16893000,116284,731402
United States,1926,0,0,0,17699000,117857,779057
United States,1927,0,0,0,18467000,119502,786827
United States,1928,0,0,0,19279000,120971,795633
United States,1929,0,0,0,19994000,122245,944324
United States,1930,0,0,0,20127000,123668,769215
United States,1931,0,0,0,19627000,124633,710164
United States,1932,0,0,0,17364000,125436,616408
United States,1933,0,0,0,16650000,126180,603458
United States,1934,0,0,0,16892000,126978,650078
United States,1935,0,0,0,17449000,127859,699805
United States,1936,0,0,0,18460000,128681,799259
United States,1937,0,0,0,19483000,129464,833446
United States,1938,0,0,40800,19985000,130476,800295
United States,1939,0,0,42950,20866000,131539,864007
United States,1940,0,0,0,21967000,132637,930828
United States,1941,0,0,0,23567000,133922,1100000
United States,1942,0,0,0,24970000,135386,1300000
United States,1943,0,0,0,26434000,137272,1600000
United States,1944,0,0,0,26914000,138937,1700000
United States,1945,0,0,0,27922000,140474,1600000
United States,1946,0,0,58000,31672000,141940,1300000
United States,1947,0,0,66000,34938000,144688,1300000
United States,1948,0,0,74000,38284000,147203,1300000
United States,1949,0,0,82000,40798000,149770,1300000
United States,1950,0,0,90000,43103000,152271,1500000
United States,1951,0,0,100166,45745000,154878,1600000
United States,1952,0,0,110333,48175000,157553,1600000
United States,1953,0,0,120500,50498000,160184,1700000
United States,1954,0,0,130333,52939000,163026,1700000
United States,1955,0,0,140166,56386000,165931,1800000
United States,1956,0,0,150000,60344000,168903,1800000
United States,1957,0,0,156166,63790000,171984,1900000
United States,1958,0,0,162333,66821000,174882,1900000
United States,1959,0,0,168500,71011000,177830,2000000
United States,1960,0,0,170000,74550000,180671,2000000
United States,1961,0,0,183750,77422000,183691,2100000
United States,1962,0,0,197500,80969000,186538,2200000
United States,1963,0,0,211250,84453000,189242,2300000
United States,1964,0,0,225000,88793000,191889,2500000
United States,1965,0,0,240000,93656000,194303,2600000
United States,1966,0,0,262700,98787000,196560,2800000
United States,1967,0,0,285000,1.04E+08,198712,2800000
United States,1968,0,0,280000,1.09E+08,200706,3000000
United States,1969,0,0,275000,1.15E+08,202677,3100000
United States,1970,0,0,290000,1.2E+08,205052,3100000
United States,1971,0,0,336000,1.25E+08,207661,3200000
United States,1972,0,0,354000,1.31E+08,209896,3300000
United States,1973,0,0,368000,1.38E+08,211909,3500000
United States,1974,0,0,385000,1.44E+08,213854,3500000
United States,1975,0,0,402000,1.49E+08,215973,3500000
United States,1976,0,0,416000,1.55E+08,218035,3700000
United States,1977,0,0,430000,1.62E+08,220239,3900000
United States,1978,0,0,444000,1.69E+08,222585,4100000
United States,1979,0,0,460900,1.76E+08,225055,4200000
United States,1980,0,0,477800,1.8E+08,227726,4200000
United States,1981,0,0,482200,1.82E+08,229966,4300000
United States,1982,0,0,486600,1.76E+08,232188,4300000
United States,1983,0,0,491000,0,234307,4400000
United States,1984,91397.3,0,495500,0,236348,4800000
United States,1985,339439.8,0,500000,0,238466,4900000
United States,1986,680357.4,0,505700,0,240651,5100000
United States,1987,1228244,0,511400,0,242804,5300000
United States,1988,2065032,0,517200,0,245021,5500000
United States,1989,3501525,0,523100,0,247342,5700000
United States,1990,5298565,2007343,529000,0,249984,5800000
United States,1991,7569333,3014071,535000,0,252639,5800000
United States,1992,11000000,4527961,541000,0,255374,6000000
United States,1993,16000000,6042286,547000,0,258083,6100000
United States,1994,24100000,13100000,553000,1.53E+08,260599,6400000
United States,1995,33800000,25200000,559000,1.6E+08,263044,6500000
United States,1996,44100000,45300000,570000,1.65E+08,265463,6800000
United States,1997,55400000,60300000,575000,1.73E+08,268008,7100000
United States,1998,69400000,85000000,580000,1.8E+08,270561,7400000
United States,1999,86300000,102000000,585000,1.84E+08,273997,7600000
United States,2000,110000000,124000000,0,1.87E+08,277466,7900000
United States,2001,129000000,143000000,0,1.92E+08,280491,0
United States,2002,141000000,159000000,0,1.88E+08,283474,0
United States,2003,0,0,0,1.81E+08,0,0
